"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
242,6207,22302.96054,18817.13994,129.49104,945.10257,13.43941,22.82804,19.12067
244,6221,13876.8835,4969.50715,142.58052,873.11453,17.22491,28.73187,30.51206
245,6233,18906.97159,7904.26034,190.45761,1473.25672,7.67666,27.55292,30.2317
246,6236,19186.35609,8000.2342,148.18844,879.68719,14.52055,27.60484,31.31211
247,6251,3361.57268,19494.14262,148.66607,1286.66114,8.39816,30.78691,24.11358
248,6265,20313.50413,8793.97713,85.52341,678.94035,16.28704,23.63818,13.2759
249,6303,22049.33661,3416.91429,92.848,638.00472,21.41001,26.01808,17.59134
250,6307,18900.21274,16632.69348,139.02889,887.87084,14.81885,25.02488,25.14287
251,6309,12402.61953,7806.50593,100.0152,764.98328,13.8429,23.86208,15.51092
252,6310,11728.56874,17308.52794,89.59904,783.23285,15.66099,28.67428,14.88383
253,6311,11742.49801,17340.17263,131.95537,753.16592,19.10857,28.7586,30.60027
254,6312,20299.91688,8727.62123,125.38601,1009.52882,6.64659,35.92528,25.89368
255,6348,22547.35684,1946.1076,180.84657,1485.13793,3.3642,27.23046,26.90325
256,6367,23564.65906,15695.58759,115.15583,835.27081,16.31353,21.31044,16.43212
257,6377,23526.48241,16782.99817,110.43067,950.57395,13.06782,21.68282,13.74101
258,6389,9524.12682,7010.03016,83.86922,497.67192,19.36877,29.07067,20.89358
260,6426,14024.45092,7488.91556,104.08411,839.99511,14.16426,28.71096,17.98419
261,6428,14384.98823,7893.83868,102.02244,868.05319,15.81727,21.6139,13.04456
262,6437,21625.92671,4800.57629,127.3303,867.17677,11.96071,29.1504,25.31225
263,6472,13653.38257,10505.67393,194.85555,1116.12608,14.64443,30.83876,46.21963
264,6491,17755.1743,16365.08366,122.72627,928.4966,11.02864,28.07713,21.39466
265,6492,16275.24521,21665.59187,146.57615,1072.62955,11.47596,29.08471,26.57346
266,6536,19160.8786,18349.11564,122.03035,824.8053,16.12816,28.27353,23.90986
267,6541,12508.95221,20631.79234,137.33286,850.71546,15.85579,26.44048,26.99029
268,6550,14027.42907,4959.88756,112.90024,820.57543,21.5137,29.18543,21.54495
269,6571,12188.34874,20676.79904,163.26107,1214.59147,8.23506,28.72458,28.42412
270,6604,15247.20632,8033.64544,87.69978,730.57314,15.6502,21.13828,11.7153
272,6645,16987.68671,1242.68312,139.84447,867.42114,14.22894,26.4223,27.36131
273,6651,22454.15884,5185.47662,127.62424,938.58855,14.95235,28.49682,23.03767
274,6660,16416.05154,2586.10768,137.68803,989.95707,10.44894,28.38933,25.028
275,6662,16843.7748,2644.42044,95.67845,678.01414,18.61024,27.80612,18.56274
276,6683,6076.56634,20133.68476,102.55442,730.00694,15.60888,25.71257,18.12025
277,6744,1075.86022,6298.54414,82.57295,567.34872,17.79736,28.76845,17.76982
278,6778,20761.19462,1955.96713,127.94507,997.23569,18.36329,30.33531,23.14432
280,6848,23992.50124,14679.73501,129.00033,1221.59656,6.65076,22.97728,14.96537
281,6853,23953.40049,14646.4488,82.29915,573.17017,14.97195,21.85561,13.65732
282,6856,23988.56426,14624.11053,89.12121,788.67239,14.34962,27.59504,14.15351
283,6865,9033.79013,16584.76695,97.5835,790.7167,16.58704,27.74614,16.52798
284,6883,22364.03955,1737.17463,181.49725,1290.04209,9.1556,26.40254,30.17288
285,6916,20822.82861,15015.3557,126.03442,701.09298,20.90042,32.78168,34.22446
286,6919,20900.37015,13972.04229,126.75552,1073.9437,15.67875,27.98289,19.63654
287,6921,14708.80904,9862.84281,79.43462,619.48166,14.53279,21.17506,11.68583
288,6931,22299.67153,1801.5856,117.61169,913.96469,11.78654,30.88744,22.01535
289,6933,12126.10546,20912.68686,129.17433,1135.63624,13.80134,26.87299,18.54209
290,6935,11219.54625,5240.16825,202.2757,1235.5049,12.91871,27.70838,40.49331
291,6935,21102.50375,13581.4567,99.63573,720.28747,15.28704,28.05724,18.92923
292,6939,20485.68835,13114.48742,102.06439,820.57693,15.65084,26.16613,16.32671
293,6940,14765.67298,8423.75898,106.46103,793.16863,15.05497,26.35283,18.26098
295,6956,9565.64823,2233.96978,146.27413,791.50882,19.83325,27.19632,33.41244
296,6956,20873.47625,13113.22937,93.43098,812.87526,19.21007,36.36729,19.2223
297,6981,20929.8451,7968.87484,98.41876,844.75756,13.92615,32.7936,18.3736
298,7004,14306.29283,6043.40563,79.46393,561.34699,19.47028,25.75699,15.24417
299,7005,14194.15673,6045.07914,157.23879,1399.36299,7.05921,24.96494,20.25664
300,7030,8576.73483,13980.94403,83.11771,635.40445,16.91413,25.04728,14.20786
301,7042,23300.68639,1292.28126,153.81083,1021.65419,11.84917,24.06656,25.47028
302,7045,22251.21972,1730.46246,130.7471,1077.96978,10.46999,25.84287,19.21757
303,7047,11174.03302,5455.75231,107.44506,842.70467,12.21902,26.00395,17.29507
304,7073,16980.96433,23511.31986,183.80583,1397.38389,7.79433,25.70759,27.87039
305,7083,16933.39566,23689.89419,224.37243,1288.95898,11.52573,29.1105,49.71014
306,7087,16397.96155,23531.01208,129.43845,755.25904,17.16388,29.16345,29.85726
307,7099,14153.70893,23955.98843,134.52456,854.31307,14.43439,29.32659,28.55616
308,7102,22364.27844,1790.5042,97.54201,692.61355,16.43126,20.89902,14.51707
309,7106,15008.69273,6886.11328,151.21277,872.90279,22.43839,28.82305,34.14092
310,7107,18541.76195,1814.02468,139.19524,866.42076,18.9116,32.73815,33.3312
311,7119,11522.26302,11192.62928,91.05637,590.7551,19.86149,27.51617,19.30082
312,7127,13486.6975,3591.12111,129.68187,685.53757,17.26873,31.27211,35.22589
313,7176,15631.97181,8031.35823,119.14894,876.47569,11.80613,25.37784,19.53071
314,7185,16977.63864,9008.15428,132.9924,1291.02248,5.92693,22.09453,14.47752
315,7189,16546.91195,8857.50781,106.62909,799.87873,13.9075,25.51786,17.63456
316,7196,11354.78347,1168.69456,157.97769,1042.31817,13.94886,26.59835,28.84544
317,7196,16880.24291,9357.33704,89.90733,508.1432,26.57138,31.23932,24.62759
318,7205,14099.89545,23733.05419,123.81843,1089.0091,13.97711,30.77145,20.29736
319,7231,18375.38616,8445.67043,129.44086,976.34208,14.25784,28.3521,22.6391
320,7242,12113.04182,16606.3885,103.39507,1184.41405,10.97839,24.8962,11.28298
321,7281,19170.50756,15923.9888,122.74255,918.40011,19.10826,32.81515,25.06061
322,7299,22204.32042,18604.78031,129.52932,978.01082,15.16823,28.87514,23.02215
323,7302,22731.76038,6019.63575,94.18467,1079.57816,19.87112,26.16389,10.99657
324,7320,22393.94815,1836.72407,109.50645,867.52924,11.47323,21.96299,14.92927
326,7339,12447.40094,15625.11321,125.26355,887.9218,14.994,25.28954,21.02203
327,7352,9477.53666,4953.65641,186.14014,1334.38283,12.04934,26.96249,31.23657
328,7390,12827.57909,11634.45,113.07955,723.72686,16.176,26.92668,22.62609
329,7394,23507.24171,6771.64335,89.89588,720.16721,14.61816,26.80088,15.24844
330,7396,20926.17159,12974.12563,134.74482,1470.45631,18.91587,27.26325,15.82086
331,7397,24418.4693,16319.73032,122.72498,813.03662,14.40363,26.25505,22.84794
332,7399,14096.85516,14627.57849,115.39029,724.33402,17.2362,22.9738,20.22175
333,7404,12148.33755,8913.07306,129.8271,807.5115,13.72077,27.76879,26.84272
334,7409,20775.55729,13391.89386,102.87085,1060.84487,13.43686,29.61008,14.49181
335,7434,21293.01549,6187.28001,117.31156,868.08658,24.75248,33.59625,24.95427
336,7437,18583.18116,6429.84855,157.66802,1093.11985,10.8384,28.3029,29.10595
337,7444,18611.3426,21344.57044,138.20891,895.94712,11.78546,31.10791,30.30757
338,7498,22297.68307,1874.33541,91.34717,736.11732,18.77478,26.15296,15.00101
339,7500,22305.40452,1891.59241,105.61487,925.69959,15.59328,28.03097,16.43446
340,7503,13784.50211,7634.80836,83.04626,678.91694,17.88718,26.07536,13.81356
341,7513,24425.06323,17541.59617,174.06172,1329.97304,5.90727,23.69041,24.45456
342,7521,20960.02532,9035.46256,94.29249,805.40937,18.14544,25.66623,14.27819
343,7522,22265.12996,1840.25726,92.67591,1093.92764,16.49299,27.58905,11.07825
