Label,volume,centerofMassX,centerofMassY,boundingBoxMinX,boundingBoxMinY,boundingBoxMaxX,boundingBoxMaxY,eigenvalueX,eigenvalueY,eigenvalueZ,aspectRatio,sphericity,numberOfTouchingNeighbors,averageDistanceOf5ClosestNeighbors,numberOfNeighborsCloserThan100.0
152,106,138.349,25.500,131,20,146,30,1.000,3.617,21.313,0.047,2.006,4,15.684,70
153,226,94.646,117.159,85,101,105,132,1.000,4.176,97.975,0.010,1.693,7,12.968,115
154,392,155.120,11.168,133,2,176,22,1.000,7.092,169.108,0.006,1.933,5,21.041,52
155,168,57.821,65.583,45,61,72,72,1.000,4.097,47.865,0.021,1.840,4,14.981,89
156,375,80.816,97.549,60,87,100,110,1.000,23.274,126.057,0.008,1.699,10,15.604,113
157,693,5.580,36.962,0,0,22,71,1.000,20.924,519.598,0.002,1.737,8,16.997,52
158,259,44.012,16.965,29,5,58,28,1.000,5.355,92.473,0.011,1.819,5,15.525,58
159,166,161.006,73.102,151,65,169,81,1.000,5.433,35.930,0.028,2.029,5,16.129,99
160,269,150.483,210.446,131,206,169,217,1.000,4.707,124.362,0.008,1.832,6,14.929,71
161,201,177.264,96.234,166,87,191,107,1.000,4.219,70.831,0.014,1.765,7,15.276,103
162,224,139.942,161.179,133,149,146,173,1.000,8.691,44.779,0.022,2.175,9,15.723,111
163,202,114.193,103.322,101,97,129,110,1.000,3.947,70.100,0.014,1.936,7,13.894,126
164,191,40.199,95.974,25,93,57,101,1.000,3.230,81.593,0.012,1.909,5,13.070,83
165,548,160.476,112.272,139,98,177,131,1.000,19.064,145.726,0.007,2.131,10,16.584,118
166,239,153.573,178.188,137,174,170,184,1.000,4.460,95.745,0.010,2.069,6,13.353,97
167,459,149.464,220.630,130,213,168,229,1.000,15.048,98.322,0.010,2.398,6,17.182,61
168,379,111.187,167.926,99,151,121,187,1.000,20.963,79.174,0.013,1.948,7,16.018,98
169,252,203.202,84.528,186,72,219,97,1.000,3.609,123.865,0.008,1.608,5,14.233,79
170,120,143.150,83.883,133,78,152,90,1.000,3.490,28.907,0.035,1.783,5,14.576,115
171,94,243.691,127.447,238,120,247,134,1.000,6.249,12.382,0.081,2.000,4,15.018,50
172,237,37.388,39.228,23,29,50,50,1.000,4.852,83.747,0.012,1.852,6,16.245,68
173,160,32.038,58.275,22,52,42,65,1.000,4.945,36.828,0.027,1.980,6,15.175,70
