Label,volume,centerofMassX,centerofMassY,boundingBoxMinX,boundingBoxMinY,boundingBoxMaxX,boundingBoxMaxY,eigenvalueX,eigenvalueY,eigenvalueZ,aspectRatio,sphericity,numberOfTouchingNeighbors,averageDistanceOf5ClosestNeighbors,numberOfNeighborsCloserThan100.0
181,148,125.912,8.473,120,0,131,17,1.000,6.352,23.856,0.042,2.255,4,14.285,97
182,231,214.481,192.991,202,183,227,203,1.000,5.319,69.182,0.014,1.897,7,15.518,98
183,161,214.025,234.335,205,227,222,241,1.000,6.506,27.455,0.036,2.168,6,12.977,74
184,139,143.403,134.374,138,124,150,144,1.000,4.026,33.974,0.029,1.908,5,13.731,164
185,137,162.985,233.883,157,226,169,241,1.000,6.487,19.981,0.050,2.216,5,12.820,96
186,209,212.541,39.191,204,29,221,51,1.000,6.405,49.472,0.020,2.077,6,13.961,85
187,151,238.781,49.517,232,37,243,59,1.000,5.038,33.859,0.030,1.959,6,15.295,68
188,248,93.242,43.645,84,29,103,57,1.000,5.806,70.921,0.014,1.948,7,14.027,132
189,158,208.209,197.582,200,190,219,205,1.000,4.631,37.423,0.027,1.963,5,15.008,99
190,163,165.693,142.926,161,130,170,155,1.000,3.817,46.783,0.021,2.004,6,12.689,157
191,165,87.091,178.442,80,168,93,189,1.000,5.255,34.481,0.029,2.021,6,16.058,148
192,142,19.493,171.620,9,166,28,176,1.000,4.500,31.549,0.032,2.123,6,12.589,101
193,235,174.745,162.404,169,145,182,179,1.000,4.224,92.547,0.011,1.805,8,15.017,145
194,245,177.808,61.620,170,47,186,77,1.000,5.261,77.644,0.013,1.972,8,13.840,127
195,251,70.072,77.307,62,65,79,90,1.000,12.035,37.464,0.027,2.138,5,16.478,144
196,269,113.253,129.364,103,115,123,142,1.000,6.837,73.219,0.014,2.056,8,17.457,162
197,121,51.802,61.446,45,54,59,70,1.000,3.881,26.971,0.037,1.849,4,13.083,120
198,270,151.044,39.352,136,28,166,50,1.000,5.909,88.732,0.011,1.871,5,15.190,119
199,106,172.491,67.708,167,60,178,76,1.000,3.309,23.676,0.042,1.867,4,12.609,134
200,72,79.653,2.403,72,0,86,7,1.000,3.531,11.742,0.085,1.819,2,15.277,86
201,212,121.019,29.340,115,18,128,41,1.000,7.241,39.917,0.025,2.262,8,16.122,117
202,102,240.765,208.127,236,200,243,219,1.000,2.646,30.881,0.032,1.885,4,16.479,71
203,190,121.695,138.068,117,127,128,150,1.000,5.416,45.555,0.022,2.160,6,16.664,163
204,136,180.875,133.588,170,126,190,143,1.000,3.722,38.483,0.026,1.640,7,12.696,142
205,134,35.657,123.075,27,115,44,133,1.000,3.696,35.076,0.029,1.711,4,13.264,117
206,200,141.935,234.115,128,230,157,239,1.000,4.596,61.276,0.016,1.969,7,12.138,102
207,161,87.963,229.261,77,224,99,234,1.000,5.200,34.072,0.029,2.045,5,15.434,102
208,149,81.852,237.718,72,232,95,241,1.000,4.492,36.105,0.028,1.942,5,16.793,91
209,160,231.706,201.894,225,191,238,212,1.000,4.491,36.949,0.027,1.980,5,13.971,79
210,209,133.976,165.292,123,155,146,175,1.000,5.539,61.514,0.016,1.892,6,13.324,155
211,162,9.827,158.617,0,155,23,163,1.000,4.591,41.849,0.024,2.177,3,12.724,92
212,241,138.618,151.415,124,142,154,162,1.000,4.926,88.009,0.011,1.801,7,14.468,162
213,120,186.425,6.475,181,0,192,15,1.000,4.709,20.418,0.049,2.101,4,12.661,79
214,150,24.620,29.107,14,24,33,35,1.000,5.292,28.052,0.036,2.133,8,14.780,77
215,151,16.715,194.278,7,189,26,199,1.000,5.071,29.082,0.034,2.212,4,13.440,88
216,302,204.930,69.338,194,57,216,79,1.000,13.520,48.040,0.021,2.316,5,19.248,114
217,204,210.475,220.755,198,216,224,226,1.000,5.666,49.112,0.020,2.149,7,13.126,86
218,240,12.767,85.342,4,72,21,100,1.000,5.356,79.556,0.013,1.987,5,13.352,101
219,144,112.264,19.882,108,10,117,29,1.000,4.606,30.734,0.033,2.214,6,12.570,106
220,225,50.578,108.862,37,99,64,119,1.000,4.415,77.565,0.013,1.825,9,15.526,133
221,110,176.718,27.073,172,20,182,34,1.000,4.369,18.392,0.054,2.056,5,13.159,98
222,198,136.621,192.606,125,182,148,201,1.000,4.725,61.335,0.016,1.867,5,15.414,143
223,144,75.903,163.757,68,156,85,171,1.000,5.268,29.920,0.033,1.954,7,15.450,153
224,282,90.025,72.443,75,61,105,84,1.000,5.905,92.040,0.011,1.891,9,15.442,154
225,204,226.554,165.034,216,153,237,177,1.000,4.198,70.602,0.014,1.783,8,13.809,101
226,172,112.477,147.919,108,135,117,160,1.000,4.641,43.265,0.023,2.077,4,15.618,164
227,178,236.888,142.433,229,130,243,154,1.000,4.402,52.673,0.019,1.913,5,15.543,93
228,210,12.114,188.152,0,181,27,196,1.000,4.789,71.089,0.014,1.942,5,11.543,87
229,198,44.197,21.182,32,12,55,29,1.000,5.491,48.240,0.021,1.956,5,14.031,81
230,351,194.689,49.917,184,33,207,71,1.000,8.191,123.797,0.008,1.910,6,15.759,107
231,271,5.657,52.838,0,41,13,64,1.000,12.646,39.567,0.025,2.665,4,17.781,76
232,349,130.206,121.768,121,105,138,141,1.000,11.583,83.928,0.012,2.067,7,16.000,157
233,102,7.500,145.196,0,141,15,148,1.000,3.637,20.340,0.049,2.111,3,11.472,98
234,208,79.827,55.236,68,42,91,68,1.000,4.134,75.391,0.013,1.664,7,15.491,136
235,190,10.658,38.974,0,32,23,45,1.000,5.089,48.298,0.021,2.103,5,15.732,75
236,197,186.452,47.934,180,35,194,62,1.000,4.558,59.680,0.017,1.904,5,14.777,114
237,146,131.390,180.377,124,170,141,189,1.000,3.863,38.897,0.026,1.764,4,13.801,153
238,224,11.723,166.103,0,158,26,173,1.000,6.178,63.784,0.016,2.027,4,12.104,95
239,252,116.944,107.643,108,90,126,126,1.000,3.840,117.188,0.009,1.723,4,14.232,163
240,251,108.179,92.896,99,77,118,109,1.000,5.476,84.924,0.012,1.815,6,15.082,163
241,223,44.202,182.417,36,169,51,195,1.000,6.885,48.703,0.021,2.068,8,14.603,114
242,159,97.101,9.038,93,0,102,19,1.000,5.685,32.580,0.031,2.218,5,13.704,100
243,183,67.628,12.923,58,2,76,23,1.000,5.240,43.906,0.023,1.901,5,13.614,88
244,159,11.786,151.610,0,148,22,155,1.000,4.137,43.854,0.023,2.289,4,12.119,101
245,185,76.211,40.357,66,28,87,52,1.000,4.291,59.975,0.017,1.670,5,15.912,118
246,202,78.045,107.114,63,99,92,115,1.000,4.281,68.803,0.015,1.771,6,13.213,153
247,122,38.869,169.598,35,159,44,179,1.000,3.571,28.193,0.035,1.919,4,12.811,118
248,131,26.229,16.015,22,8,31,25,1.000,4.763,24.940,0.040,2.227,5,12.020,69
249,194,56.840,232.995,45,223,67,241,1.000,5.497,46.952,0.021,1.929,6,13.257,85
250,114,102.070,43.842,97,35,106,52,1.000,3.987,21.878,0.046,2.030,4,12.836,133
251,160,42.369,160.969,34,152,50,172,1.000,5.155,36.983,0.027,1.875,6,13.271,127
252,158,21.690,227.601,16,216,28,238,1.000,4.120,40.954,0.024,1.963,6,10.960,70
253,174,23.937,93.109,17,82,32,104,1.000,4.583,45.482,0.022,1.932,4,14.190,110
254,73,39.630,236.589,36,231,45,241,1.000,3.803,9.960,0.100,2.011,4,13.666,72
255,106,228.925,229.189,222,224,236,236,1.000,5.273,14.818,0.067,1.934,6,11.892,68
256,197,191.102,25.528,182,14,201,37,1.000,5.583,51.702,0.019,1.861,6,14.745,89
257,123,8.797,181.642,0,177,17,186,1.000,4.091,24.854,0.040,2.136,4,11.557,89
258,226,71.031,152.451,58,142,84,162,1.000,4.637,77.349,0.013,1.869,6,13.852,154
259,242,84.471,12.657,76,0,93,26,1.000,6.350,65.389,0.015,2.087,6,13.118,98
260,230,221.130,215.417,210,205,236,225,1.000,5.725,71.440,0.014,1.891,7,14.057,80
261,204,85.471,146.147,79,134,92,156,1.000,9.889,36.044,0.028,2.149,8,14.848,166
262,259,108.224,46.328,100,30,115,63,1.000,5.716,91.945,0.011,1.926,8,13.587,136
263,193,132.585,224.917,120,218,147,231,1.000,5.810,49.328,0.020,1.923,7,12.482,110
264,76,179.395,4.684,175,0,184,11,1.000,3.837,10.776,0.093,1.972,3,12.210,81
265,159,224.818,183.346,220,170,232,194,1.000,4.616,42.678,0.023,1.820,5,13.760,95
266,143,65.336,173.832,58,164,74,183,1.000,4.091,35.180,0.028,1.787,5,13.033,138
267,364,188.676,75.195,175,52,201,95,1.000,5.924,173.463,0.006,1.736,8,16.969,129
268,197,229.020,211.838,218,204,240,221,1.000,5.423,48.875,0.020,1.997,6,13.260,79
269,159,169.270,27.396,162,18,176,39,1.000,4.819,38.850,0.026,1.918,6,13.507,105
270,175,216.303,9.543,206,5,228,13,1.000,5.242,40.029,0.025,2.292,5,11.278,64
271,220,57.000,173.141,49,162,66,187,1.000,6.089,57.950,0.017,1.958,5,14.019,133
272,62,25.677,237.258,22,232,30,241,1.000,3.654,7.207,0.139,1.994,3,10.711,66
273,199,157.372,67.151,150,54,166,82,1.000,4.366,67.041,0.015,1.792,5,12.434,144
274,205,77.532,123.380,64,115,90,134,1.000,4.437,70.253,0.014,1.789,6,12.632,155
275,100,2.740,95.280,0,83,7,103,1.000,3.179,24.715,0.040,1.796,3,15.342,94
276,246,137.256,201.833,122,191,150,211,1.000,5.757,81.922,0.012,1.899,6,14.697,133
277,183,137.694,130.350,132,117,145,144,1.000,4.134,58.426,0.017,1.856,4,13.472,161
278,218,103.908,231.431,89,225,120,239,1.000,4.485,72.963,0.014,1.863,6,13.140,101
279,167,41.012,110.473,30,102,53,119,1.000,3.818,50.587,0.020,1.746,6,15.143,123
280,258,64.446,139.539,51,128,79,151,1.000,5.418,87.550,0.011,1.849,6,13.607,148
281,159,87.943,22.755,82,10,94,34,1.000,4.385,39.652,0.025,1.868,4,13.309,110
282,303,110.696,105.020,101,84,122,126,1.000,4.611,149.778,0.007,1.678,5,13.039,162
283,156,72.314,6.558,62,0,80,15,1.000,5.147,33.020,0.030,2.002,4,13.728,86
284,330,57.839,82.630,49,67,67,95,1.000,13.576,62.585,0.016,2.221,5,15.156,136
285,105,241.114,26.295,238,13,243,37,1.000,2.029,38.528,0.026,1.736,3,17.385,58
